Date,Echosounder,EventStart_UTC,EventEnd_UTC,Perpendicular_distance_m
7/3/2016,1,7/3/2016 18:53,7/3/2016 19:28,1801
7/7/2016,1,7/7/2016 19:48,7/7/2016 20:06,2750
7/7/2016,1,7/7/2016 20:18,7/7/2016 20:31,1246
7/7/2016,1,7/7/2016 20:20,7/7/2016 20:37,1351
7/19/2016,1,7/19/2016 17:47,7/19/2016 18:03,2844
7/25/2016,1,7/25/2016 20:29,7/25/2016 20:57,3381
7/25/2016,1,7/25/2016 20:50,7/25/2016 21:19,1152
7/25/2016,1,7/25/2016 21:20,7/25/2016 21:39,2276
7/25/2016,1,7/25/2016 21:22,7/25/2016 21:46,861
7/25/2016,1,7/25/2016 21:28,7/25/2016 21:42,759
7/31/2016,1,7/31/2016 20:16,7/31/2016 20:36,1552
7/31/2016,1,7/31/2016 20:16,7/31/2016 20:30,2385
7/31/2016,1,7/31/2016 20:26,7/31/2016 20:43,1414
8/2/2016,1,8/2/2016 20:50,8/2/2016 21:07,991
8/14/2016,1,8/14/2016 13:17,8/14/2016 13:44,3087
8/14/2016,1,8/14/2016 14:54,8/14/2016 15:06,873
8/14/2016,1,8/14/2016 19:10,8/14/2016 19:26,2187
8/23/2016,1,8/23/2016 17:03,8/23/2016 17:13,2233
